X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu
676996.352700002,6826345.4536,1,JAKOBOWICZ ET ASSOCIES - HOTEL DES VENTES DE MELUN,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
661833.509900004,6834430.3997,2,CAMPER-DABERNAT,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
654276.366700001,6840574.9064,3,POINT PLUS VIRY CHATILLON,librairie,maison de la presse, , , , , , , , ,114 GRANDE RUE,Commerces du livre
650700.369499996,6840737.321,4,FNAC AEROPORT ORLY 3,grande distribution,grande distribution de produits culturels, , , , , , ,,,PASSAGE DU BOURG-L'ABBÉ & RUE SAINT-DENIS,Commerces du livre
651662.679099999,6842664.6828,5,MICHEL ROBIC,antiquaire,,,,,,,,,,PLACE DES ANTIQUAIRES & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités
654114.589299999,6842779.4494,6,ANTIQUITES 2000,antiquaire,,,,,,,,,,1-13 RUE DE LA POURVOIERIE,Commerces de l'art et d'antiquités
654282.171499997,6843016.8389,7,LIBRAIRIE PASTEUR,librairie,maison de la presse, , , , , , , , ,41 AVENUE GEORGES POMPIDOU,Commerces du livre
654027.278200001,6843514.9417,8,VINCENT ART,antiquaire,,,,,,,,,,3 BIS RUE DU BAILLIAGE,Commerces de l'art et d'antiquités
654020.906599998,6843528.4443,9,LES VRAIES RICHESSES,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires, , , , ,ROUTE FORESTIÈRE DE LA SOURCE,Commerces du livre
653184.730800003,6843743.702,10,MIX ARTS LOISIRS,librairie,maison de la presse, , , , , , , , ,7 AVENUE DE PARIS,Commerces du livre
671079.819700003,6844347.9636,11,MAITRE HENRIKA MAASSEN - ENCHERES PARIS SUD EST,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
640244.183700003,6844496.4323,12,LIBRAIRIE LES BEAUX PAPIERS,librairie,généraliste, , , , , , , , ,4 RUE FLORIAN,Commerces du livre
653931.317900002,6844679.3433,13,ACHAT ANTIQUITES BROCANTE - PASCAL GALLOT,antiquaire,,,,,,,,,,12 RUE DES ETATS GÉNÉRAUX,Commerces de l'art et d'antiquités
636279.424800001,6844968.1808,14,LIRAGIF,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires, , , , ,16 RUE TROYON,Commerces du livre
636144.503200002,6845059.8332,15,GALERIE ALJANCIC,galerie d'art,,,,,,,,,,RUE DU CASTEL & RUE DE GENTILLY,Commerces de l'art et d'antiquités
652914.544100001,6845263.8692,16,ATELIER AUDIBERT,galerie d'art,,,,,,,,,,RUE DES BUISSONS & RUE DES MARGUILLIERS,Commerces de l'art et d'antiquités
643946.462499999,6845284.2032,17,LIBRAIRIE LES EAUX VIVES,librairie,maison de la presse, , , , , , , , ,25 RUE TRÉBOIS,Commerces du livre
653603.782799996,6845348.2703,18,ANTIQUITES QUENTIN GAUDILLAT,antiquaire,,,,,,,,,,CITÉ DES 3 PASSAGES & RUE DU BAILLIAGE,Commerces de l'art et d'antiquités
644252.0973,6845922.2467,19,ESPACE 181,galerie d'art,,,,,,,,,,35 RUE DE NOISEAU,Commerces de l'art et d'antiquités
653080.397,6846018.2483,20,LIBRAIRIE PAPETERIE PRESSE SAUVRY,librairie,maison de la presse, , , , , , , , ,RUE FLORIAN & RUE DES ÉCOLES,Commerces du livre
644296.522600003,6846081.1516,21,LA FONTAINE AUX LIVRES,librairie,généraliste, , , , , , , , ,61 RUE VOLTAIRE,Commerces du livre
644625.670999996,6846546.9865,22,AU BONHEUR DU JOUR,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
666116.296300001,6846937.6911,23,AU FIL DES PAGES - LIBRAIRIE DU REVEILLON,librairie,généraliste,restauration, , , , , , , ,14 BOULEVARD MORLAND,Commerces du livre
652873.755500004,6847743.5136,24,FNAC AEROPORT ORLY 2,grande distribution,grande distribution de produits culturels, , , , , , ,,,11 RUE RAMEAU,Commerces du livre
652843.993299998,6847799.5381,25,FNAC AEROPORT ORLY 1,grande distribution,grande distribution de produits culturels, , , , , , ,,,RUE DES PETITS-CHAMPS & GALERIE VIVIENNE,Commerces du livre
668377.5995,6847895.3525,26,ANTIQUE ART GALLERY,antiquaire,,,,,,,,,,RUE BAILLET REVIRON & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités
646748.115000002,6847982.0229,27,LIBRAIRIE ARBORESCENCE,librairie,généraliste, , , ,Leslibraires.fr,Place des Libraires, , , ,13-27 RUE DE LA MAIRIE,Commerces du livre
657323.003700003,6848470.4032,28,LE PETIT DIABLE,librairie,généraliste, , , , , , , , ,39 RUE DE BRETAGNE,Commerces du livre
667152.114600003,6848644.6495,29,LIBRAIRIE DE MAROLLES,librairie,maison de la presse, , , , , , , , ,37 RUE DE RIVOLI,Commerces du livre
649962.078100003,6849023.9256,30,LA FABRIQUE VEGETALE,galerie d'art,galerie-fleuriste,,,,,,,,,60 RUE PASTEUR,Commerces de l'art et d'antiquités
655608.014300004,6849372.5327,31,LIBRAIRIE DU VIEIL ORLY,librairie,maison de la presse, , , , , , , , ,33 BOULEVARD DU TEMPLE,Commerces du livre
661044.2346,6849432.2773,32,LIBRAIRIE PRESSE ISABELLE HIVERT,librairie,maison de la presse, , , , , , , , ,58 RUE DE L'HÔTEL DE VILLE,Commerces du livre
