X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu,geometry,longitude,latitude,arrondissement
676996.352700002,6826345.4536,1,JAKOBOWICZ ET ASSOCIES - HOTEL DES VENTES DE MELUN,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.688397280891076 48.53693505519286),2.688397280891076,48.53693505519286,
661833.509900004,6834430.3997,2,CAMPER-DABERNAT,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.4822911859713774 48.60894511670731),2.4822911859713774,48.60894511670731,
654276.366700001,6840574.9064,3,POINT PLUS VIRY CHATILLON,librairie,maison de la presse, , , , , , , , ,114 GRANDE RUE,Commerces du livre,POINT (2.3791309648930725 48.66372298451642),2.3791309648930725,48.66372298451642,
650700.369499996,6840737.321,4,FNAC AEROPORT ORLY 3,grande distribution,grande distribution de produits culturels, , , , , , ,,,PASSAGE DU BOURG-L'ABBÉ & RUE SAINT-DENIS,Commerces du livre,POINT (2.3305569971151545 48.66492100963223),2.3305569971151545,48.66492100963223,
651662.679099999,6842664.6828,5,MICHEL ROBIC,antiquaire,,,,,,,,,,PLACE DES ANTIQUAIRES & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités,POINT (2.343406035577011 48.682329007734765),2.343406035577011,48.682329007734765,
654114.589299999,6842779.4494,6,ANTIQUITES 2000,antiquaire,,,,,,,,,,1-13 RUE DE LA POURVOIERIE,Commerces de l'art et d'antiquités,POINT (2.376698033043116 48.683539983196546),2.376698033043116,48.683539983196546,
654282.171499997,6843016.8389,7,LIBRAIRIE PASTEUR,librairie,maison de la presse, , , , , , , , ,41 AVENUE GEORGES POMPIDOU,Commerces du livre,POINT (2.378948993719046 48.68568700769899),2.378948993719046,48.68568700769899,
654027.278200001,6843514.9417,8,VINCENT ART,antiquaire,,,,,,,,,,3 BIS RUE DU BAILLIAGE,Commerces de l'art et d'antiquités,POINT (2.3754330362607314 48.69014898842286),2.3754330362607314,48.69014898842286,
654020.906599998,6843528.4443,9,LES VRAIES RICHESSES,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires, , , , ,ROUTE FORESTIÈRE DE LA SOURCE,Commerces du livre,POINT (2.375345026738114 48.69026998066578),2.375345026738114,48.69026998066578,
653184.730800003,6843743.702,10,MIX ARTS LOISIRS,librairie,maison de la presse, , , , , , , , ,7 AVENUE DE PARIS,Commerces du livre,POINT (2.3639619828004705 48.692146018037235),2.3639619828004705,48.692146018037235,
671079.819700003,6844347.9636,11,MAITRE HENRIKA MAASSEN - ENCHERES PARIS SUD EST,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.6070407558242876 48.698629673681836),2.6070407558242876,48.698629673681836,
640244.183700003,6844496.4323,12,LIBRAIRIE LES BEAUX PAPIERS,librairie,généraliste, , , , , , , , ,4 RUE FLORIAN,Commerces du livre,POINT (2.18805601054192 48.69784898146987),2.18805601054192,48.69784898146987,
